Service_ID,Officer_ID,NGO_ID,Is_Given_Vol,Volunteer_ID,Is_Completed,Transaction_ID,Service_Cost
SER25,OFF46,NGO7,No,NULL,No,NULL,916
SER26,OFF15,NGO8,Yes,VOL41,No,NULL,241
SER27,OFF20,NGO9,No,NULL,No,NULL,501
SER28,OFF24,NGO1,Yes,NULL,No,NULL,590
SER29,OFF15,NGO2,No,NULL,No,NULL,715
SER30,OFF48,NGO3,Yes,VOL20,Yes,835528613349,659
SER31,OFF21,NGO4,No,NULL,No,NULL,607
SER32,OFF35,NGO5,Yes,VOL41,Yes,227836811576,653
SER33,OFF41,NGO6,No,NULL,No,NULL,431
SER34,OFF34,NGO7,Yes,VOL41,Yes,598250371691,470
SER35,OFF29,NGO8,Yes,VOL22,No,NULL,540
SER36,OFF26,NGO9,Yes,VOL6,Yes,366689604522,861
SER37,OFF33,NGO1,Yes,VOL16,Yes,224963470995,515
SER38,OFF26,NGO2,Yes,VOL21,Yes,423480184403,958
SER39,OFF21,NGO3,Yes,VOL7,No,NULL,137
SER40,OFF19,NGO4,Yes,VOL43,Yes,828348821285,876
SER41,OFF29,NGO5,Yes,VOL45,Yes,184809559387,138
SER42,OFF27,NGO6,No,NULL,No,NULL,285
SER43,OFF38,NGO7,Yes,VOL3,No,NULL,256
SER44,OFF1,NGO8,No,NULL,No,NULL,466
SER45,OFF17,NGO9,No,NULL,No,NULL,324
SER46,OFF12,NGO1,No,NULL,No,NULL,403
SER47,OFF35,NGO2,Yes,VOL39,Yes,326244278950,343
SER48,OFF30,NGO3,Yes,VOL21,No,NULL,472
